번호,제목,저자,출판사,출판일,참고문헌양식
24.0,Big-Data-Driven Stem Cell Science and Tissue Engineering: Vision and Unique Opportunities,"Del Sol, Antonio; Thiesen, Hans J.; Imitola, Jaime; Carazo Salas, Rafael E.",ELSEVIER SCIENCE B.V; AMSTERDAM,2017.0,
25.0,Big-Sensing-Data Curation for the Cloud is Coming: A Promise of Scalable Cloud-Data-Center Mitigation for Next-Generation IoT and Wireless Sensor Networks,"Yang, C.; Puthal, D.; Mohanty, S.; Kougianos, E.",IEEE,2017.0,
26.0,Big-data analytics framework for incorporating smallholders in sustainable palm oil production,"Shukla, Manish; Tiwari, Manoj Kumar",Taylor & Francis,2017.0,
27.0,Big-Data Based Real-Time Interactive Growth Management System in Wireless Communications,"Kim, Jonghun; Jang, Heetae; Kim, Jong Tak; Pan, Hee-Jun; Park, Roy C.",Springer Nature,2018.0,
28.0,Big-data-based edge biomarkers: study on dynamical drug sensitivity and resistance in individuals,"Zeng, T.; Zhang, W.; Yu, X.; Liu, X.; Li, M.; Chen, L.",Oxford University Press,2016.0,
29.0,Big-data analysis of phase-formation rules in high-entropy alloys,"Zhao, Wan-li; Miao, Ding-hao; Zhang, Yong; He, Zhan-bing","ELSEVIER SCIENCE B.V., AMSTERDAM",2017.0,
30.0,Big-Data-Geschäftsmodelle — die drei Seiten der Medaille,"Hecker, D.",Springer Science + Business Media,2016.0,
31.0,Big-Data-Technologien in der Fahrzeugentwicklung,"Abthoff, T.",Springer Science + Business Media,2016.0,
32.0,Big-Data Method to Advance Public Health Informatics: Smarter Public Health Prevention System (SPHPS),"Jalali,  Arash; Rahden,  Douglas; Heintz,  Joerg; Filla,  Greg; DiNovi,  Jason; Mensah,  Edward",American Medical Informatics Association,2016.0,
33.0,Big-Data Based Online State of Charge Estimation and Energy Consumption Prediction for Electric Vehicles,"Zhang,  Zhiyun; Huang,  Miaohua; Chen,  Yupu; Gao,  Dong",Society of Automotive Engineers,2016.0,
34.0,Big-data clustering with interval type-2 fuzzy uncertainty modeling in gene expression datasets,"Shukla, Amit K.; Muhuri, Pranab K.","Elsevier Science B.V., Amsterdam.",2019.0,
35.0,Big-Data-Based Intelligent Spectrum Sensing for Heterogeneous Spectrum Communications in 5G,"Liu, Xin; Sun, Qingquan; Lu, Weidang; Wu, Celimuge; Ding, Hua",IEEE,2020.0,
36.0,Big-Data Challenge Advances highlight big issues,unknown,BEIJING REVIEW,2014.0,
37.0,Big-data business models: A critical literature review and multiperspective research framework,"Wiener, Martin; Saunders, Carol; Marabelli, Marco",Palgrave Macmillan,2020.0,
38.0,Big-Data Science: Infrastructure Impact,"Monga, Inder; Prabhat,",INDIAN NATIONAL SCIENCE ACADEMY,2018.0,
39.0,BIG DATA/BIG COMPUTE TECHNOLOGIES AND THE REALM OF POSSIBILITIES: The Emergence of Real-Time Risk Enterprises in the Capital Markets Industry,MAYIZ HABBAL,Institutional Investor,2014.0,
40.0,Big-Data Mechanisms and Energy-Policy Design,"Pat,  Ankit; Larson,  Kate; Keshav,  Srinivasen",American Association for Artificial Intelligence,2016.0,
41.0,Big-data-driven safety decision-making: A conceptual framework and its influencing factors,"Huang, Lang; Wu, Chao; Wang, Bing; Ouyang, Qiumei","Elsevier Science B.V., Amsterdam.",2018.0,
42.0,Big-Data Science: Infrastructure Impact,"Monga, Inder; Prabhat,",INDIAN NATIONAL SCIENCE ACADEMY,2018.0,
43.0,Data Transfer Scheduling for Maximizing Throughput of Big-Data Computing in Cloud Systems,"Xie, R.; Jia, X.",IEEE,2018.0,
44.0,Big-Data Streaming Applications Scheduling with Online Learning and Concept Drift Detection,"Kanoun, Karim; van der Schaar, Mihaela",IEEE Computer Society,2015.0,
45.0,"Big-Data - Theoretical, Engineering and Analytics Perspective","Agneeswaran, V.S.",SPRINGER-VERLAG,2012.0,
46.0,BIG-DATA APPROACHES TO PROTEIN STRUCTURE PREDICTION Metagenomics sequence data give protein structure prediction a boost,"Söding,  J.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2017.0,
47.0,Big-Data-Based Power Battery Recycling for New Energy Vehicles: Information Sharing Platform and Intelligent Transportation Optimization,"Yu, Haijun; Dai, Hongliang; Tian, Guangdong; Xie, Yinghao; Wu, Benben; Zhu, Ying; Li, Hongliang; Wu, Han",IEEE,2020.0,
48.0,Big-data x-ray phase contrast imaging simulation challenges [9594-17],unknown,The Society,2015.0,
49.0,Big-data for building energy performance: Lessons from assembling a very large national database of building energy use,Paul A. Mathew; Laurel N. Dunn,ELSEVIER,2015.0,
50.0,Big-Data Approaches for Bioinformatics Workflows: A Comparative Assessment,"Nunes,  Rickey T. P.; Deshpande,  Santosh L.",Springer,2016.0,
51.0,Big-Data Visualization,"Keim, D.; Qu, H.; Ma, K. L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013.0,
52.0,Big-data analysis for carbon emission reduction from cars: Towards walkable green smart community,"Yamagata, Yoshiki; Murakami, Daisuke; Wu, Yihan; Yang, Perry Pei-Ju; Yoshida, Takahiro; Binder, Robert","Elsevier Science B.V., Amsterdam",2019.0,
53.0,Big-Data Reflection High Energy Electron Diffraction Analysis for Understanding Epitaxial Film Growth Processes,"Vasudevan, R.K.; Tselev, A.; Baddorf, A.P.; Kalinin, S.V.",AMERICAN CHEMICAL SOCIETY,2014.0,
54.0,Big-Data Cloud Services Platform for Growth Enterprises with Adaptive Exception Handling and Parallelized Data Mining,"Wen, Yazhi; Bo, Hu; Wen, Bin",Springer,2017.0,
55.0,"A big-data analysis of political rhetoric relating the developments of the United States, China, and global powers","Carter, Patrick; Wang, Jeffrie; Chau, Davis",Emerald Publishing,2020.0,
56.0,A big-data oriented recommendation method based on multi-objective optimization,"Xu, Chonghuan","Elsevier Science B.V., Amsterdam.",2019.0,
57.0,A Big-Data-based platform of workers' behavior: Observations from the field,"Guo, S.Y.; Ding, L.Y.; Luo, H.B.; Jiang, X.Y.","Elsevier Science B.V., Amsterdam.",2016.0,
58.0,Social Big-Data-Based Content Dissemination in Internet of Vehicles,"Zhou, Z.; Gao, C.; Xu, C.; Zhang, Y.; Mumtaz, S.; Rodriguez, J.",IEEE,2018.0,
59.0,Persisting big-data: The NoSQL landscape,"Corbellini, Alejandro; Mateos, Cristian; Zunino, Alejandro; Godoy, Daniela; Schiaffino, Silvia","Elsevier Science B.V., Amsterdam.",2017.0,
60.0,A big–data security mechanism based on fully homomorphic encryption using cubic spline curve public key cryptography,"Krishna, Addepalli V. N.",Taylor and Francis,2018.0,
61.0,"A Big-Data Approach to Understanding the Thematic Landscape of the Field of Business Ethics, 1982–2016","Liu, Ying; Mai, Feng; MacDonald, Chris",Springer Nature,2018.0,
62.0,Sears' Big-Data Strategy? Just a Service Call Away,"Wahba, Phil",Time Inc.,2015.0,
63.0,Industrial big-data-driven and CPS-based adaptive production scheduling for smart manufacturing,"Qiao, Fei; Liu, Juan; Ma, Yumin",Taylor & Francis,2021.0,
64.0,A big-data analytics method for capturing visitor activities and flows: the case of an island country,"Miah, Shah Jahan; Vu, HuyQuan; Gammack, John",Springer Nature,2019.0,
65.0,Applying big-data technologies to network architecture,unknown,L M ERICSSON,2012.0,
66.0,Using Big-data and Surface Fitting to Improve Aircraft Safety Through the Study of Relationships and Anomalies,"Wooder, Duncan; Purvis, Alan; McWilliam, Richard","Elsevier Science B.V., Amsterdam",2017.0,
67.0,A Big-Data Approach to Contemporary French Politics,"Sobanet, Andrew; Singh, Lisa",Taylor & Francis,2020.0,
68.0,Mobile big-data-driven rating framework: measuring the relationship between human mobility and app usage behavior,"Qiao, Y.; Zhao, X.; Yang, J.; Liu, J.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016.0,
69.0,A big-data driven approach to analyzing and modeling human mobility trend under non-pharmaceutical interventions during COVID-19 pandemic,"Hu, Songhua; Xiong, Chenfeng; Yang, Mofeng; Younes, Hannah; Luo, Weiyu; Zhang, Lei","Elsevier Science B.V., Amsterdam",2021.0,
70.0,Becoming data-savvy in a big-data world,"Xu, Meng; Rhee, Seung Yon","Elsevier Science B.V., Amsterdam.",2014.0,
71.0,Using Big-data and Surface Fitting to Improve Aircraft Safety Through the Study of Relationships and Anomalies,"Wooder, Duncan; Purvis, Alan; McWilliam, Richard","Elsevier Science B.V., Amsterdam",2017.0,
72.0,A Big-Data-based platform of workers’ behavior: Observations from the field,"Guo, S.Y.; Ding, L.Y.; Luo, H.B.; Jiang, X.Y.","Elsevier Science B.V., Amsterdam.",2016.0,
73.0,Distributed Big-Data Optimization via Blockwise Gradient Tracking,"Notarnicola, Ivano; Sun, Ying; Scutari, Gesualdo; Notarstefano, Giuseppe",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021.0,
74.0,"Real-world big-data studies in laboratory medicine: Current status, application, and future considerations","Ma, Chaochao; Wang, Xinlu; Wu, Jie; Cheng, Xinqi; Xia, Liangyu; Xue, Fang; Qiu, Ling","Elsevier Science B.V., Amsterdam.",2020.0,
75.0,"The Big-Data-Driven Intelligent Wireless Network: Architecture, Use Cases, Solutions, and Future Trends","I, C.; Sun, Q.; Liu, Z.; Zhang, S.; Han, S.","Institute of Electrical and Electronics Engineers, Inc.",2017.0,
76.0,Streetlytics: Big-Data for Real Estate Market Analysis,"Thrall,  Grant",unknown,2015.0,
77.0,A big-data method to predict the targets of small molecules and accelerate drug discovery,"Madhukar, N.; Khade, P.; Huang, L.; Gayvert, K.; Paraskevi, G.; Elemento, O.","Elsevier Science B.V., Amsterdam.",2016.0,
78.0,Dynamic Big-Data Broadcast in Fat-Tree Data Center Networks With Mobile IoT Devices,unknown,THE INSTITUTE OF ELECTRICAL AND ELECTRONICS AND ELECTRONICS ENGINEERS,2019.0,
79.0,Selbstlernende Big-Data-Analysen für intelligentes Energiemanagement,"Hilt, B.",Springer Science + Business Media,2015.0,
80.0,"The big-data jobs outlook is encouraging. | GM plans to hire 3,000 HP employees",unknown,CW COMMUNICATIONS INC.,2012.0,
81.0,"A Big-Data Perspective on AI: Newton, Merton, and Analytics Intelligence","Wang, F. Y.",COMPUTER SOCIETY,2012.0,
82.0,A big-data analysis of human-nature relations in newspaper coverage,"Jaung, Wanggi; Carrasco, L. Roman","Elsevier Science B.V., Amsterdam.",2022.0,
83.0,A big-data model for multi-modal public transportation with application to macroscopic control and optimisation,"Faizrahnemoon, Mahsa; Schlote, Arieh; Maggi, Lorenzo; Crisostomi, Emanuele; Shorten, Robert",Taylor & Francis,2015.0,
84.0,A Big-Data Analysis of Disaster Information Dissemination in South Korea,"Hwang, Yongsuk; Jeong, Jaekwan; Jin, Eun-Hyeong; Yu, Hee Ra; Jung, Dawoon",Springer,2018.0,
85.0,Ecology Big-data approaches lead to an increased understanding of the ecology of animal movement,"Nathan, R.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2022.0,
86.0,"A big-data spatial, temporal and network analysis of bovine tuberculosis between wildlife (badgers) and cattle","Moustakas, A.; Evans, M. R.",Springer Science + Business Media,2017.0,
87.0,"Recent Big-Data Struggles Are 'Birthing Pains,' Researchers Say.","PARRY, MARC.","Chronicle of higher education, etc",2014.0,
88.0,BIFM: Big-Data Driven Intelligent Forecasting Model for COVID-19,"Dash, Sujata; Chakraborty, Chinmay; Giri, Sourav Kumar; Pani, Subhendu Kumar; Frnda, Jaroslav",IEEE,2021.0,
89.0,"As Big-Data Companies Enter the Classroom, a Pioneer Issues a Warning","BLUMENSTYK, GOLDIE","Chronicle of higher education, etc ",2016.0,
90.0,Distributed Partitioned Big-Data Optimization via Asynchronous Dual Decomposition,unknown,IEEE,2018.0,
91.0,Research of Big-Data Mining Visualization Application,"Zhang, C.",Springer Science + Business Media,2014.0,
92.0,A Tensor-Based Big-Data-Driven Routing Recommendation Approach for Heterogeneous Networks,"Wang, Xiaokang; Yang, Laurence T.; Kuang, Liwei; Liu, Xingang; Zhang, Qingxia; Deen, M. Jamal",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019.0,
93.0,Lessons for big-data projects,"Birney, E.",Nature Publishing Group,2012.0,
94.0,A Comprehensive Big-Data-Based Monitoring System for Yield Enhancement in Semiconductor Manufacturing,"Nakata, K.; Orihara, R.; Mizuoka, Y.; Takagi, K.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017.0,
95.0,Leveraging The Big-Data Revolution: CMS Is Expanding Capabilities To Spur Health System Transformation,"Brennan, N.; Oelschlaeger, A.; Cox, C.; Tavenner, M.",PROJECT HOPE,2014.0,
96.0,Four Health Data Networks Illustrate The Potential For A Shared National Multipurpose Big-Data Network,"Curtis, L.H.; Brown, J.; Platt, R.",PROJECT HOPE,2014.0,
97.0,A Cloud Big-Data-Driven Dynamics Control Approach for Unmanned Ground Vehicles for Safety Improving,"Jiang, Xu; Ni, Jun; Wu, Jiafeng; Yang, Xu",IEEE Institute of Electrical & Electronics,2022.0,
98.0,IBM stellt Big-Data-Services aus Twitter vor,unknown,SPRINGER SCIENCE + BUSINESS MEDIA,2015.0,
99.0,Traditional vs. big-data fashion trend forecasting: an examination using WGSN and EDITED,Mikayla DuBreuil; Sheng Lu,TAYLOR & FRANCIS GROUP,2020.0,
100.0,Optimizing Read-Once Data Flow in Big-Data Applications,"Morad, T. Y.; Shomron, G.; Erez, M.; Kolodny, A.; Weiser, U. C.",IEEE Computer Society,2017.0,
1.0,Editorial: Advanced Big-Data Analysis Methods and Tools for High-Throughput Omics Technologies,"Huang, Tao",Bantham Science Publishers Ltd,2017.0,
2.0,"21st-Century Investing Big-data companies are soaring. Despite high prices, it's still possible to cash in","Laughlin, L.S.",TIME INC,2014.0,
3.0,Framework for Aligning Big-Data Strategy with Organizational Goals,"Lakoju,  Mike; Serrano,  Alan","Curran Associates,.",2017.0,
4.0,Semantic interoperability for big-data in heterogeneous IoT infrastructure for healthcare,"Ullah, Farhan; Habib, Muhammad Asif; Farhan, Muhammad; Khalid, Shehzad; Durrani, Mehr Yahya; Jabbar, Sohail",Elsevier Science,2017.0,
5.0,Abnormal Operation Tracking through Big-Data-Based Gram—Schmidt Orthogonalization: Production of n-Propyl Propionate in a Simulated Moving-Bed Reactor: A Case Study,"Santana, Vinicius V.; Martins, Márcio A. F.; Rodrigues, Alírio E.; Loureiro, José M.; Ribeiro, Ana M.; Nogueira, Idelfonso B. R.",ACS AMERICAN CHEMICAL SOCIETY,2021.0,
6.0,"Political Depression? A Big-Data, Multimethod Investigation of Americans' Emotional Response to the Trump Presidency","Simchon, Almog; Guntuku, Sharath Chandra; Simhon, Rotem; Ungar, Lyle H.; Hassin, Ran R.; Gilead, Michael",APA AMERICAN PSYCHOLOGICAL ASSOCIATION,2020.0,
7.0,Careers: Graduate programs for big-data analysts,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013.0,
8.0,Smallholders need access to big-data agronomy too,"Mehrabi, Z.; Jimenez, D.; Jarvis, A.",Nature Publishing Group,2018.0,
9.0,Pipelined Multi-GPU MapReduce for Big-Data Processing,"Chen, Y.; Qiao, Z.; Davis, S.; Jiang, H.; Li, K.-C.",Springer Science,2013.0,
10.0,Design and Implementation of Big-Data Analysis Application on Spark for Distribution Network Based on Data Interception,"Zhang, Pan; Ding, Lingyun; Jiang, Ning; Ling, Wanshui; Ding, Yi","Elsevier Science B.V., Amsterdam",2018.0,
11.0,Daten und Diabetes: Big-Data-Medizin,"Ickrath, M.",Springer Science + Business Media,2016.0,
12.0,High performance solutions for big-data GWAS,"Peise, E.; Fabregat-Traver, D.; Bientinesi, P.","Elsevier Science B.V., Amsterdam.",2015.0,
13.0,Ari Caroline: This big-data guru mines analytics to help cancer patients [Resources_Careers],"Nordrum, A.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016.0,
14.0,More accountability for big-data algorithms,unknown,Nature Publishing Group,2016.0,
15.0,COMPUTING Cloud cover The big-data era is putting pressure on storage methods,unknown,Nature Publishing Group,2015.0,
16.0,An Ultralow-power Memory-based Big-data Computing Platform by Nonvolatile Domain-wall Nanowire Devices,"Wang, Y.; Yu, H.","Red Hook, NY; Curran Associates, Inc.",2013.0,
17.0,A Middleware for Managing Big-Data Flows,"Gupta, R.; Gupta, H.; Gupta, S.; Padmanabhan, S.",SPRINGER-VERLAG,2013.0,
18.0,Comparative Evaluation of Big-Data Systems on Scientific Image Analytics Workloads,"Mehta,  Parmita; Dorkenwald,  Sven; Zhao,  Dongfang; Kaftan,  Tomer; Cheung,  Alvin; Balazinska,  Magdalena; Rokem,  Ariel; Connolly,  Andrew; Vanderplas,  Jacob; Alsayyad,  Yusra",VLDB Endowment,2017.0,
19.0,Mobile Edge Computing for Big-Data-Enabled Electric Vehicle Charging,"Cao, Y.; Song, H.; Kaiwartya, O.; Zhou, B.; Zhuang, Y.; Cao, Y.; Zhang, X.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018.0,
20.0,Enhancing physical-layer security via big-data-aided hybrid relay selection,"He, H.; Ren, P.; Du, Q.; Sun, L.; Wang, Y.",Springer Science + Business Media,2017.0,
21.0,Advancing manufacturing systems with big-data analytics: A conceptual framework,"Kozjek, Dominik; Vrabič, Rok; Rihtaršič, Borut; Lavrač, Nada; Butala, Peter",Taylor & Francis,2020.0,
22.0,ConEx: Efficient Exploration of Big-Data System Configurations for Better Performance,"Krishna, Rahul; Tang, Chong; Sullivan, Kevin; Ray, Baishakhi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022.0,
23.0,A methodology for real-time data sustainability in smart city: Towards inferencing and analytics for big-data,"Malik, Kaleem Razzaq; Sam, Yacine; Hussain, Majid; Abuarqoub, Abdelrahman",Elsevier Science,2018.0,
24.0,SIMD parallel MCMC sampling with applications for big-data Bayesian analytics,"Mahani, A. S.; Sharabiani, M. T.","Elsevier Science B.V., Amsterdam.",2015.0,
25.0,A review on sentiment discovery and analysis of educational big‐data,"Han, Zhongmei; Wu, Jiyi; Huang, Changqin; Huang, Qionghao; Zhao, Meihua",John Wiley & Sons Ltd,2020.0,
26.0,Analysis: Don't do big-data science backwards,"Lindenmayer, D. B.; Likens, G. E.",Nature Publishing Group,2013.0,
27.0,Integrative Biology and Big-Data-Centrism: Mapping out a Bioscience Ethics Perspective with a S.W.O.T. Matrix,"Überall, Martina; Werner-Felmayer, Gabriele",Mary Ann Leibert,2019.0,
28.0,Israeli firm MedAware offers big-data software that helps detect prescription errors,"Rice,  Sabriya",CRAIN COMMUNICATIONS INC.,2015.0,
29.0,PMU121 APPLICATION OF REAL-WORLD DATA FROM MEDICAL BIG-DATA PLATFORM IN REAL WORLD EVIDENCE GENERATION: A PRACTICE IN POST-MARKETING RESEARCH IN CHINA,"Wang, Y.; Xing, Y.; Wu, Y.; Yuan, N.; Wang, F.; Jiang, B.; Xiong, T.","Elsevier Science B.V., Amsterdam",2020.0,
30.0,Industrial Symbiosis: Exploring Big-data Approach for Waste Stream Discovery,"Song, Bin; Yeo, Zhiquan; Kohls, Paul; Herrmann, Christoph","Elsevier Science B.V., Amsterdam",2017.0,
31.0,"Situating Ecology as a Big-Data Science: Current Advances, Challenges, and Solutions","Farley, S. S.; Dawson, A.; Goring, S. J.; Williams, J. W.",BIOSCIENCE SUBSCRIPTION OFFICE,2018.0,
32.0,Performance evaluation of NoSQL big-data applications using multi-formalism models,"Barbierato, E.; Gribaudo, M.; Iacono, M.","Elsevier Science B.V., Amsterdam.",2014.0,
33.0,JBHI Special Issue of Big-Data for Health,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014.0,
34.0,"After Facebook Fiasco, Big-Data Researchers Rethink Ethics.","VOOSEN, PAUL.","Chronicle of higher education, etc",2015.0,
35.0,An Out of Memory tSVD for Big-Data Factorization,"Carrillo-Cabada, Hector; Skau, Erik; Chennupati, Gopinath; Alexandrov, Boian; Djidjev, Hristo",IEEE,2020.0,
36.0,A qualitative readiness-requirements assessment model for enterprise big-data infrastructure investment [9122-13],"Olama, M.M.; McNair, A.W.; Sukumar, S.R.; Nutaro, J.J.",International Society for Optical Engineering; 1999,2014.0,
37.0,PWR pin-homogenized cross-sections analysis using big-data technology,"Hua, Guowei; Li, Yunzhao; Wang, Sicheng","Elsevier Science B.V., Amsterdam.",2020.0,
38.0,Vergleich von Kompetenzanforderungen an Business-Intelligence- und Big-Data-Spezialisten,"Debortoli, S.; Müller, O.; Brocke, J. v.",unknown,2014.0,
39.0,A Kernel-Based Framework for Medical Big-Data Analytics,"Windridge, D.; Bober, M.",SPRINGER-VERLAG,2014.0,
40.0,High-performance interconnection networks in the Exascale and Big-Data Era,"Escudero-Sahuquillo, J. s.; Garcia, P. J.",Springer Science + Business Media,2016.0,
41.0,A Kernel-Based Framework for Medical Big-Data Analytics,"Windridge, D.; Bober, M.",Cham; Springer,2014.0,
42.0,Editorial Note: HCI Systems for Big-Data Based Multimedia Applications,unknown,Springer Science + Business Media,2017.0,
43.0,Interview mit Michael Feindt zum Thema „Präskriptive Big-Data-Analyse“,"Jarke, M.",unknown,2014.0,
44.0,Monsanto throws its hat in the big-data ring,unknown,CXO MEDIA,2013.0,
45.0,Interview mit Stefan Wrobel zum Thema „Angewandte Big-Data-Forschung“,"Jarke, M.",unknown,2014.0,
46.0,Structural Health Monitoring as a Big-Data Problem,"Cremona, C.; Santos, J.","IABSE, ETH-HONGGERBERG",2018.0,
47.0,Failure Analysis and Prediction for Big-Data Systems,"Rosa, A.; Chen, L. Y.; Binder, W.",Institute of Electrical & Electronics Engineers,2017.0,
48.0,Evolutionary Scheduling of Dynamic Multitasking Workloads for Big-Data Analytics in Elastic Cloud,"Zhang, F.; Cao, J.; Tan, W.; Khan, S. U.; Li, K.; Zomaya, A. Y.",IEEE,2014.0,
49.0,"Physical education's grand convergence: Fitnessgram®, big-data and the digital commerce of children's health","Pluim, Carolyn; Gard, Michael",Taylor & Francis,2018.0,
50.0,Predicting the pattern of technology convergence using big-data technology on large-scale triadic patents,"Lee, W. S.; Han, E. J.; Sohn, S. Y.","Elsevier Science B.V., Amsterdam.",2015.0,
51.0,RW4 APPLICATION OF ARTIFICIAL INTELLIGENCE AND MEDICAL BIG-DATA IN REAL WORLD EVIDENCE GENERATION: A LITERATURE REVIEW OF RESEARCH PRACTICE IN CHINA,"Xiong, T.; Li, J.; Hao, Y.; Xu, J.","Elsevier Science B.V., Amsterdam",2019.0,
52.0,Identifying industrial clusters with a novel big-data methodology: Are SIC codes (not) fit for purpose in the Internet age?,"Papagiannidis, Savvas; See-To, Eric W.K.; Assimakopoulos, Dimitris G.; Yang, Yang","Elsevier Science B.V., Amsterdam.",2018.0,
53.0,"Symposium on insure‐tech, digitalization, and big‐data techniques in risk management and insurance","Bauer, Daniel; Tyler Leverty, James; Schmit, Joan; Sydnor, Justin",Wiley-Blackwell,2021.0,
54.0,In sieben Schritten zum erfolgreichen Big-Data-Projekt,"Conrads, R.",Springer Science + Business Media,2014.0,
55.0,A code offloading scheme for big-data processing in android applications,"Hung, S. H.; Tzeng, T. T.; Wu, G. D.; Shieh, J. P.","John Wiley & Sons, Ltd",2015.0,
56.0,The Linear Estimation Problem and Information in Big-Data Systems,"Golubtsov, P. V.",Springer Nature,2018.0,
57.0,Emergency Drug Procurement Planning Based on Big-Data Driven Morbidity Prediction,"Song, Qin",IEEE,2019.0,
58.0,22.4 Starting to Think About Big-Data Approaches to Clinical Detection of Early-Stage Bipolar Disorder: Evidence-Based Assessment and Statistical Learning Models,"Youngstrom, Eric; Lindheim, Oliver",Elsevier,2018.0,
