고유번호,지역코드,숙박종류,이름,주소,상세주소,전화번호
93,12,04,씨투무인텔,전북 전주시 완산구 효자동3가,1537-12,063-0229-5672
313,12,04,야모텔,전북 전주시 덕진구 우아동2가,924-5,063-0242-0375
310,12,04,허브모텔,전북 전주시 덕진구 우아동2가,919-1,063-0245-5454
294,12,04,전주호텔,전북 전주시 덕진구 산정동,858-3,063-0247-3333
271,12,04,알프스모텔,전북 전주시 완산구 중화산동2가,664-3,063-0224-9180
274,12,04,엘에이모텔,전북 전주시 완산구 중화산동2가,664-2,063-0225-8047
128,12,04,우아미모텔,전북 전주시 덕진구 우아동2가,928-5,063-0247-3300
291,12,04,현대모텔,전북 전주시 덕진구 산정동,872-7,063-0241-7794
305,12,04,히딩크 모텔,전북 전주시 덕진구 우아동2가,919-8,063-0242-5665
94,12,04,쇼모텔,전북 전주시 완산구 효자동3가,1532-13,063-0714-2100
265,12,04,고구려후예 모텔,전북 전주시 덕진구 금암1동,763-13,063-0274-2839
106,12,04,아모르모텔,전북 전주시 덕진구 산정동,868-2,063-0242-8465
298,12,04,아이리스 모텔,전북 전주시 덕진구 산정동,875-9,063-0242-1250
262,12,04,연일모텔,전북 전주시 완산구 태평동,7-9,063-0253-2255
301,12,04,우아장모텔,전북 전주시 덕진구 우아동3가,752-15,063-0241-0477
1608,12,04,호펠 99,전북 전주시 덕진구 우아동2가,929-10,063-0246-5333
1406,12,04,카멜리아[우수숙박시설 굿스테이],전북 전주시 덕진구 산정동,870-5 번지,063-0243-9900
1463,12,04,호텔 린하우스[우수숙박시설 굿스테이],전라북도 전주시 산정동,874-3,063-0244-5585
1223,12,04,홀인원모텔[우수숙박시설 굿스테이],전주시 완산구 다가동 3가,64-43번지,063-0232-7123
1865,12,04,비지니스 모텔(우수숙박업소),전북 전주시 덕진구 금암동,462-8,063-0276-5858
1905,12,04,에드가모텔,전북 전주시 덕진구 산정동,859-3,050-7962-4345
