CRIM,NOX,RM,RAD,TAX,PRICE
0.13117,0.52,6.127,5,384,20.4
0.12802,0.52,6.474,5,384,19.8
0.26363,0.52,6.229,5,384,19.4
0.10793,0.52,6.195,5,384,21.7
0.10084,0.547,6.715,6,432,22.8
0.12329,0.547,5.913,6,432,18.8
0.22212,0.547,6.092,6,432,18.7
0.14231,0.547,6.254,6,432,18.5
0.17134,0.547,5.928,6,432,18.3
0.13158,0.547,6.176,6,432,21.2
0.15098,0.547,6.021,6,432,19.2
0.13058,0.547,5.872,6,432,20.4
0.14476,0.547,5.731,6,432,19.3
0.06899,0.581,5.87,2,188,22
0.07165,0.581,6.004,2,188,20.3
0.09299,0.581,5.961,2,188,20.5
0.15038,0.581,5.856,2,188,17.3
0.09849,0.581,5.879,2,188,18.8
0.16902,0.581,5.986,2,188,21.4
0.38735,0.581,5.613,2,188,15.7
0.25915,0.624,5.693,4,437,16.2
0.32543,0.624,6.431,4,437,18
0.88125,0.624,5.637,4,437,14.3
0.34006,0.624,6.458,4,437,19.2
1.19294,0.624,6.326,4,437,19.6
0.59005,0.624,6.372,4,437,23
0.32982,0.624,5.822,4,437,18.4
0.97617,0.624,5.757,4,437,15.6
0.55778,0.624,6.335,4,437,18.1
0.32264,0.624,5.942,4,437,17.4
0.35233,0.624,6.454,4,437,17.1
0.2498,0.624,5.857,4,437,13.3
0.54452,0.624,6.151,4,437,17.8
0.2909,0.624,6.174,4,437,14
1.62864,0.624,5.019,4,437,14.4
3.32105,0.871,5.403,5,403,13.4
4.0974,0.871,5.468,5,403,15.6
2.77974,0.871,4.903,5,403,11.8
2.37934,0.871,6.13,5,403,13.8
2.15505,0.871,5.628,5,403,15.6
2.36862,0.871,4.926,5,403,14.6
2.33099,0.871,5.186,5,403,17.8
2.73397,0.871,5.597,5,403,15.4
1.6566,0.871,6.122,5,403,21.5
1.49632,0.871,5.404,5,403,19.6
1.12658,0.871,5.012,5,403,15.3
2.14918,0.871,5.709,5,403,19.4
1.41385,0.871,6.129,5,403,17
3.53501,0.871,6.152,5,403,15.6
2.44668,0.871,5.272,5,403,13.1
1.22358,0.605,6.943,5,403,41.3
1.34284,0.605,6.066,5,403,24.3
1.42502,0.871,6.51,5,403,23.3
1.27346,0.605,6.25,5,403,27
1.46336,0.605,7.489,5,403,50
1.83377,0.605,7.802,5,403,50
1.51902,0.605,8.375,5,403,50
2.24236,0.605,5.854,5,403,22.7
2.924,0.605,6.101,5,403,25
2.01019,0.605,7.929,5,403,50
1.80028,0.605,5.877,5,403,23.8
2.3004,0.605,6.319,5,403,23.8
2.44953,0.605,6.402,5,403,22.3
1.20742,0.605,5.875,5,403,17.4
2.3139,0.605,5.88,5,403,19.1
0.13914,0.51,5.572,5,296,23.1
0.09178,0.51,6.416,5,296,23.6
0.08447,0.51,5.859,5,296,22.6
0.06664,0.51,6.546,5,296,29.4
0.07022,0.51,6.02,5,296,23.2
0.05425,0.51,6.315,5,296,24.6
0.06642,0.51,6.86,5,296,29.9
0.0578,0.488,6.98,3,193,37.2
0.06588,0.488,7.765,3,193,39.8
0.06888,0.488,6.144,3,193,36.2
0.09103,0.488,7.155,3,193,37.9
0.10008,0.488,6.563,3,193,32.5
0.08308,0.488,5.604,3,193,26.4
0.06047,0.488,6.153,3,193,29.6
0.05602,0.488,7.831,3,193,50
0.07875,0.437,6.782,5,398,32
0.12579,0.437,6.556,5,398,29.8
0.0837,0.437,7.185,5,398,34.9
0.09068,0.437,6.951,5,398,37
0.06911,0.437,6.739,5,398,30.5
0.08664,0.437,7.178,5,398,36.4
0.02187,0.401,6.8,1,265,31.1
0.01439,0.401,6.604,1,265,29.1
0.01381,0.422,7.875,4,255,50
0.04011,0.404,7.287,2,329,33.3
0.04666,0.404,7.107,2,329,30.3
0.03768,0.404,7.274,2,329,34.6
0.0315,0.403,6.975,3,402,34.9
0.01778,0.403,7.135,3,402,32.9
0.03445,0.415,6.162,2,348,24.1
0.02177,0.415,7.61,2,348,42.3
0.0351,0.4161,7.853,4,224,48.5
0.02009,0.4161,8.034,4,224,50
0.13642,0.489,5.891,4,277,22.6
0.22969,0.489,6.326,4,277,24.4
0.25199,0.489,5.783,4,277,22.5
0.13587,0.489,6.064,4,277,24.4
0.43571,0.489,5.344,4,277,20
0.17446,0.489,5.96,4,277,21.7
0.37578,0.489,5.404,4,277,19.3
0.21719,0.489,5.807,4,277,22.4
0.14052,0.489,6.375,4,277,28.1
0.28955,0.489,5.412,4,277,23.7
0.19802,0.489,6.182,4,277,25
0.0456,0.55,5.888,5,276,23.3
0.07013,0.55,6.642,5,276,28.7
0.11069,0.55,5.951,5,276,21.5
0.11425,0.55,6.373,5,276,23
0.35809,0.507,6.951,8,307,26.7
0.40771,0.507,6.164,8,307,21.7
0.62356,0.507,6.879,8,307,27.5
0.6147,0.507,6.618,8,307,30.1
0.31533,0.504,8.266,8,307,44.8
0.52693,0.504,8.725,8,307,50
0.38214,0.504,8.04,8,307,37.6
0.41238,0.504,7.163,8,307,31.6
0.29819,0.504,7.686,8,307,46.7
0.44178,0.504,6.552,8,307,31.5
0.537,0.504,5.981,8,307,24.3
0.46296,0.504,7.412,8,307,31.7
0.57529,0.507,8.337,8,307,41.7
0.33147,0.507,8.247,8,307,48.3
0.44791,0.507,6.726,8,307,29
0.33045,0.507,6.086,8,307,24
0.52058,0.507,6.631,8,307,25.1
0.51183,0.507,7.358,8,307,31.5
0.08244,0.428,6.481,6,300,23.7
0.09252,0.428,6.606,6,300,23.3
0.11329,0.428,6.897,6,300,22
0.10612,0.428,6.095,6,300,20.1
0.1029,0.428,6.358,6,300,22.2
0.12757,0.428,6.393,6,300,23.7
0.20608,0.431,5.593,7,330,17.6
0.19133,0.431,5.605,7,330,18.5
0.33983,0.431,6.108,7,330,24.3
0.19657,0.431,6.226,7,330,20.5
0.16439,0.431,6.433,7,330,24.5
0.19073,0.431,6.718,7,330,26.2
0.1403,0.431,6.487,7,330,24.4
0.21409,0.431,6.438,7,330,24.8
0.08221,0.431,6.957,7,330,29.6
0.36894,0.431,8.259,7,330,42.8
0.04819,0.392,6.108,1,315,21.9
0.03548,0.392,5.876,1,315,20.9
0.01538,0.394,7.454,3,244,44
0.61154,0.647,8.704,5,264,50
0.66351,0.647,7.333,5,264,36
0.65665,0.647,6.842,5,264,30.1
0.54011,0.647,7.203,5,264,33.8
0.53412,0.647,7.52,5,264,43.1
0.52014,0.647,8.398,5,264,48.8
0.82526,0.647,7.327,5,264,31
0.55007,0.647,7.206,5,264,36.5
0.76162,0.647,5.56,5,264,22.8
0.7857,0.647,7.014,5,264,30.7
0.57834,0.575,8.297,5,264,50
0.5405,0.575,7.47,5,264,43.5
0.09065,0.464,5.92,3,223,20.7
0.29916,0.464,5.856,3,223,21.1
0.16211,0.464,6.24,3,223,25.2
0.1146,0.464,6.538,3,223,24.4
0.22188,0.464,7.691,3,223,35.2
0.05644,0.447,6.758,4,254,32.4
0.09604,0.447,6.854,4,254,32
0.10469,0.447,7.267,4,254,33.2
0.06127,0.447,6.826,4,254,33.1
0.07978,0.447,6.482,4,254,29.1
0.21038,0.4429,6.812,5,216,35.1
0.03578,0.4429,7.82,5,216,45.4
0.03705,0.4429,6.968,5,216,35.4
0.06129,0.4429,7.645,5,216,46
0.01501,0.401,7.923,1,198,50
0.00906,0.4,7.088,1,285,32.2
0.01096,0.389,6.453,1,300,22
0.01965,0.385,6.23,1,241,20.1
0.03871,0.405,6.209,6,293,23.2
0.0459,0.405,6.315,6,293,22.3
0.04297,0.405,6.565,6,293,24.8
0.03502,0.411,6.861,4,245,28.5
0.07886,0.411,7.148,4,245,37.3
0.03615,0.411,6.63,4,245,27.9
0.08265,0.437,6.127,4,289,23.9
0.08199,0.437,6.009,4,289,21.7
0.12932,0.437,6.678,4,289,28.6
0.05372,0.437,6.549,4,289,27.1
0.14103,0.437,5.79,4,289,20.3
0.06466,0.4,6.345,5,358,22.5
0.05561,0.4,7.041,5,358,29
0.04417,0.4,6.871,5,358,24.8
0.03537,0.433,6.59,7,329,22
0.09266,0.433,6.495,7,329,26.4
0.1,0.433,6.982,7,329,33.1
0.05515,0.472,7.236,7,222,36.1
0.05479,0.472,6.616,7,222,28.4
0.07503,0.472,7.42,7,222,33.4
0.04932,0.472,6.849,7,222,28.2
0.49298,0.544,6.635,4,304,22.8
0.3494,0.544,5.972,4,304,20.3
2.63548,0.544,4.973,4,304,16.1
0.79041,0.544,6.122,4,304,22.1
0.26169,0.544,6.023,4,304,19.4
0.26938,0.544,6.266,4,304,21.6
0.3692,0.544,6.567,4,304,23.8
0.25356,0.544,5.705,4,304,16.2
0.31827,0.544,5.914,4,304,17.8
0.24522,0.544,5.782,4,304,19.8
0.40202,0.544,6.382,4,304,23.1
0.47547,0.544,6.113,4,304,21
0.1676,0.493,6.426,5,287,23.8
0.18159,0.493,6.376,5,287,23.1
0.35114,0.493,6.041,5,287,20.4
0.28392,0.493,5.708,5,287,18.5
0.34109,0.493,6.415,5,287,25
0.19186,0.493,6.431,5,287,24.6
0.30347,0.493,6.312,5,287,23
0.24103,0.493,6.083,5,287,22.2
0.06617,0.46,5.868,4,430,19.3
0.06724,0.46,6.333,4,430,22.6
0.04544,0.46,6.144,4,430,19.8
0.05023,0.4379,5.706,1,304,17.1
0.03466,0.4379,6.031,1,304,19.4
0.05083,0.515,6.316,5,224,22.2
0.03738,0.515,6.31,5,224,20.7
0.03961,0.515,6.037,5,224,21.1
0.03427,0.515,5.869,5,224,19.5
0.03041,0.515,5.895,5,224,18.5
0.03306,0.515,6.059,5,224,20.6
0.05497,0.515,5.985,5,224,19
0.06151,0.515,5.968,5,224,18.7
0.01301,0.442,7.241,1,284,32.7
0.02498,0.518,6.54,1,422,16.5
0.02543,0.484,6.696,5,370,23.9
0.03049,0.484,6.874,5,370,31.2
0.03113,0.442,6.014,3,352,17.5
0.06162,0.442,5.898,3,352,17.2
0.0187,0.429,6.516,4,351,23.1
0.01501,0.435,6.635,4,280,24.5
0.02899,0.429,6.939,1,335,26.6
0.06211,0.429,6.49,1,335,22.9
0.0795,0.411,6.579,4,411,24.1
0.07244,0.411,5.884,4,411,18.6
0.01709,0.41,6.728,5,187,30.1
0.04301,0.413,5.663,4,334,18.2
0.10659,0.413,5.936,4,334,20.6
8.98296,0.77,6.212,24,666,17.8
3.8497,0.77,6.395,24,666,21.7
5.20177,0.77,6.127,24,666,22.7
4.26131,0.77,6.112,24,666,22.6
4.54192,0.77,6.398,24,666,25
3.83684,0.77,6.251,24,666,19.9
3.67822,0.77,5.362,24,666,20.8
4.22239,0.77,5.803,24,666,16.8
3.47428,0.718,8.78,24,666,21.9
4.55587,0.718,3.561,24,666,27.5
3.69695,0.718,4.963,24,666,21.9
13.5222,0.631,3.863,24,666,23.1
4.89822,0.631,4.97,24,666,50
5.66998,0.631,6.683,24,666,50
6.53876,0.631,7.016,24,666,50
9.2323,0.631,6.216,24,666,50
8.26725,0.668,5.875,24,666,50
11.1081,0.668,4.906,24,666,13.8
18.4982,0.668,4.138,24,666,13.8
19.6091,0.671,7.313,24,666,15
15.288,0.671,6.649,24,666,13.9
9.82349,0.671,6.794,24,666,13.3
23.6482,0.671,6.38,24,666,13.1
17.8667,0.671,6.223,24,666,10.2
88.9762,0.671,6.968,24,666,10.4
15.8744,0.671,6.545,24,666,10.9
9.18702,0.7,5.536,24,666,11.3
7.99248,0.7,5.52,24,666,12.3
20.0849,0.7,4.368,24,666,8.8
16.8118,0.7,5.277,24,666,7.2
24.3938,0.7,4.652,24,666,10.5
22.5971,0.7,5,24,666,7.4
14.3337,0.7,4.88,24,666,10.2
8.15174,0.7,5.39,24,666,11.5
6.96215,0.7,5.713,24,666,15.1
5.29305,0.7,6.051,24,666,23.2
11.5779,0.7,5.036,24,666,9.7
8.64476,0.693,6.193,24,666,13.8
13.3598,0.693,5.887,24,666,12.7
8.71675,0.693,6.471,24,666,13.1
5.87205,0.693,6.405,24,666,12.5
7.67202,0.693,5.747,24,666,8.5
38.3518,0.693,5.453,24,666,5
9.91655,0.693,5.852,24,666,6.3
25.0461,0.693,5.987,24,666,5.6
14.2362,0.693,6.343,24,666,7.2
9.59571,0.693,6.404,24,666,12.1
24.8017,0.693,5.349,24,666,8.3
41.5292,0.693,5.531,24,666,8.5
67.9208,0.693,5.683,24,666,5
20.7162,0.659,4.138,24,666,11.9
11.9511,0.659,5.608,24,666,27.9
7.40389,0.597,5.617,24,666,17.2
14.4383,0.597,6.852,24,666,27.5
51.1358,0.597,5.757,24,666,15
14.0507,0.597,6.657,24,666,17.2
18.811,0.597,4.628,24,666,17.9
28.6558,0.597,5.155,24,666,16.3
45.7461,0.693,4.519,24,666,7
18.0846,0.679,6.434,24,666,7.2
10.8342,0.679,6.782,24,666,7.5
25.9406,0.679,5.304,24,666,10.4
73.5341,0.679,5.957,24,666,8.8
11.8123,0.718,6.824,24,666,8.4
11.0874,0.718,6.411,24,666,16.7
7.02259,0.718,6.006,24,666,14.2
12.0482,0.614,5.648,24,666,20.8
7.05042,0.614,6.103,24,666,13.4
8.79212,0.584,5.565,24,666,11.7
15.8603,0.679,5.896,24,666,8.3
12.2472,0.584,5.837,24,666,10.2
37.6619,0.679,6.202,24,666,10.9
7.36711,0.679,6.193,24,666,11
9.33889,0.679,6.38,24,666,9.5
8.49213,0.584,6.348,24,666,14.5
10.0623,0.584,6.833,24,666,14.1
6.44405,0.584,6.425,24,666,16.1
5.58107,0.713,6.436,24,666,14.3
13.9134,0.713,6.208,24,666,11.7
11.1604,0.74,6.629,24,666,13.4
14.4208,0.74,6.461,24,666,9.6
15.1772,0.74,6.152,24,666,8.7
13.6781,0.74,5.935,24,666,8.4
9.39063,0.74,5.627,24,666,12.8
22.0511,0.74,5.818,24,666,10.5
9.72418,0.74,6.406,24,666,17.1
5.66637,0.74,6.219,24,666,18.4
9.96654,0.74,6.485,24,666,15.4
12.8023,0.74,5.854,24,666,10.8
10.6718,0.74,6.459,24,666,11.8
6.28807,0.74,6.341,24,666,14.9
9.92485,0.74,6.251,24,666,12.6
9.32909,0.713,6.185,24,666,14.1
7.52601,0.713,6.417,24,666,13
6.71772,0.713,6.749,24,666,13.4
5.44114,0.713,6.655,24,666,15.2
5.09017,0.713,6.297,24,666,16.1
8.24809,0.713,7.393,24,666,17.8
9.51363,0.713,6.728,24,666,14.9
4.75237,0.713,6.525,24,666,14.1
4.66883,0.713,5.976,24,666,12.7
8.20058,0.713,5.936,24,666,13.5
7.75223,0.713,6.301,24,666,14.9
6.80117,0.713,6.081,24,666,20
4.81213,0.713,6.701,24,666,16.4
3.69311,0.713,6.376,24,666,17.7
6.65492,0.713,6.317,24,666,19.5
5.82115,0.713,6.513,24,666,20.2
7.83932,0.655,6.209,24,666,21.4
3.1636,0.655,5.759,24,666,19.9
3.77498,0.655,5.952,24,666,19
4.42228,0.584,6.003,24,666,19.1
15.5757,0.58,5.926,24,666,19.1
13.0751,0.58,5.713,24,666,20.1
4.34879,0.58,6.167,24,666,19.9
4.03841,0.532,6.229,24,666,19.6
3.56868,0.58,6.437,24,666,23.2
4.64689,0.614,6.98,24,666,29.8
8.05579,0.584,5.427,24,666,13.8
6.39312,0.584,6.162,24,666,13.3
4.87141,0.614,6.484,24,666,16.7
15.0234,0.614,5.304,24,666,12
10.233,0.614,6.185,24,666,14.6
14.3337,0.614,6.229,24,666,21.4
5.82401,0.532,6.242,24,666,23
5.70818,0.532,6.75,24,666,23.7
5.73116,0.532,7.061,24,666,25
2.81838,0.532,5.762,24,666,21.8
2.37857,0.583,5.871,24,666,20.6
3.67367,0.583,6.312,24,666,21.2
5.69175,0.583,6.114,24,666,19.1
4.83567,0.583,5.905,24,666,20.6
0.15086,0.609,5.454,4,711,15.2
0.18337,0.609,5.414,4,711,7
0.20746,0.609,5.093,4,711,8.1
0.10574,0.609,5.983,4,711,13.6
0.11132,0.609,5.983,4,711,20.1
0.17331,0.585,5.707,6,391,21.8
0.27957,0.585,5.926,6,391,24.5
0.17899,0.585,5.67,6,391,23.1
0.2896,0.585,5.39,6,391,19.7
0.26838,0.585,5.794,6,391,18.3
0.23912,0.585,6.019,6,391,21.2
0.17783,0.585,5.569,6,391,17.5
0.22438,0.585,6.027,6,391,16.8
0.06263,0.573,6.593,1,273,22.4
0.04527,0.573,6.12,1,273,20.6
0.06076,0.573,6.976,1,273,23.9
0.10959,0.573,6.794,1,273,22
0.04741,0.573,6.03,1,273,11.9
